BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
163,24,14,20,20,2,20,35,26,210,28,72,21,55,69,14,4,29,63,11
28,33,20,15,53,7,68,42,25,103,27,55,13,48,40,13,3,12,45,26
106,42,3,7,36,15,36,86,35,151,39,39,13,88,19,14,2,23,104,12
291,56,1,15,25,31,101,43,25,110,39,46,0,62,12,22,2,30,68,8
185,8,58,9,93,11,21,32,34,126,19,24,22,81,103,3,6,9,55,15
197,34,66,23,66,15,46,68,28,116,18,38,28,96,77,42,8,1,38,2
147,35,40,16,65,27,63,137,43,147,26,28,58,99,42,44,2,13,70,7
192,23,44,38,61,20,56,33,46,150,13,23,35,129,54,77,1,59,60,5
190,25,25,16,79,15,92,43,55,173,13,53,33,104,102,89,0,34,69,2
147,50,42,32,63,26,64,47,24,74,29,29,76,113,57,2,6,5,88,7
131,51,64,40,164,26,104,41,47,184,12,34,20,128,87,34,0,21,98,5
149,58,55,35,93,18,60,49,59,111,13,34,50,124,60,30,2,15,42,4
99,62,46,26,173,31,68,35,56,86,22,36,38,137,66,22,1,36,132,2
233,78,51,41,95,15,116,69,58,111,10,61,23,190,26,39,15,56,153,16
146,48,38,41,192,48,83,53,62,146,22,45,32,148,31,63,10,60,90,6
182,66,46,75,144,8,64,150,83,85,13,59,51,143,40,22,13,36,75,25
68,30,41,44,171,41,41,87,92,18,14,54,23,272,65,32,4,7,116,13
180,57,53,52,109,90,79,160,49,142,27,44,44,214,38,12,2,55,74,15
142,139,42,31,72,14,79,102,153,67,10,30,28,191,58,3,19,59,73,20
80,56,152,39,75,41,43,73,119,101,14,70,34,243,47,3,2,39,74,14
194,68,30,14,158,4,104,106,69,40,58,38,61,151,53,8,25,21,85,11
286,38,37,106,101,109,67,40,138,92,15,87,30,216,59,3,10,54,102,30
129,72,72,23,109,89,119,97,124,40,45,25,54,145,68,9,12,22,100,31
93,78,46,47,132,53,60,49,108,25,14,88,44,221,34,61,6,11,104,13
199,60,70,23,127,23,64,98,38,15,48,51,49,205,20,8,8,29,85,26
120,60,50,43,118,43,52,68,92,15,40,46,40,168,42,40,13,21,72,50
151,51,40,5,64,43,72,74,36,14,38,41,27,253,18,10,11,10,60,11
88,63,52,6,89,32,23,85,21,2,10,15,53,97,21,9,1,8,50,24
87,70,20,12,36,11,61,40,24,9,13,8,35,70,14,9,2,17,39,6
67,21,42,4,31,16,16,43,20,2,14,1,62,56,17,1,0,7,37,9
52,54,0,4,35,11,18,28,6,1,36,7,32,37,6,1,0,8,16,5
65,19,25,4,27,9,2,16,15,6,1,12,29,26,11,0,1,4,33,6
6,5,23,4,26,1,5,23,19,0,4,2,25,7,9,1,1,3,9,3
64,16,4,8,8,1,3,12,6,0,5,4,25,8,2,1,0,3,13,4
18,1,5,2,5,1,3,17,12,3,6,0,7,4,4,0,0,1,5,6
3,5,0,4,4,1,1,12,1,3,3,4,7,1,3,4,1,2,3,3
0,1,0,5,5,1,0,8,12,3,4,6,0,8,1,2,2,1,5,4
13,5,4,1,10,0,4,4,2,1,3,4,2,6,4,0,3,0,6,0
9,3,0,5,8,6,0,5,0,2,1,8,1,3,0,1,2,1,1,18
4,7,0,11,2,3,3,1,4,1,2,3,0,12,0,12,1,0,3,1
8,3,2,3,8,5,0,0,8,3,0,13,1,18,2,9,8,3,2,24
12,6,1,6,8,25,18,6,4,1,3,4,2,46,1,5,2,0,2,11
13,1,6,7,11,17,5,0,5,4,2,5,1,36,5,3,11,1,1,35
31,4,9,8,15,17,30,2,24,1,10,9,2,36,1,6,4,0,5,60
35,3,3,21,12,17,12,9,12,1,1,11,0,56,6,6,7,1,1,29
8,9,10,18,10,16,3,13,24,7,1,4,5,58,7,2,20,1,2,33
73,16,12,20,25,22,38,17,35,37,28,7,4,108,2,26,8,2,0,75
77,15,22,25,10,32,12,19,41,23,43,14,1,75,7,15,19,3,2,31
21,24,4,24,7,27,16,33,22,27,15,6,5,118,5,28,26,0,8,22
104,17,9,34,41,19,25,22,19,12,46,22,2,85,8,18,12,0,10,49
105,24,25,33,52,14,14,35,17,23,15,11,4,115,22,42,20,7,12,35
92,52,17,46,44,49,45,41,32,11,47,4,10,114,13,17,27,3,15,58
192,53,43,76,31,13,19,55,39,46,13,13,14,74,20,14,32,2,20,71
2,21,39,35,86,0,15,54,41,73,20,42,6,93,17,67,48,5,82,16
67,39,3,93,81,57,15,78,72,15,25,10,22,155,8,52,31,3,14,86
283,63,19,125,77,79,92,29,20,16,35,24,0,240,13,40,54,0,63,56
135,38,50,155,248,31,22,67,30,7,74,34,13,86,23,62,50,5,30,41
129,50,52,75,36,46,36,136,32,35,60,34,21,93,18,38,40,3,61,43
203,55,20,114,218,70,29,68,43,37,48,28,18,108,9,102,13,3,66,21
152,49,52,117,58,67,27,51,25,37,18,29,14,145,41,48,54,1,32,46
107,58,26,87,55,77,24,56,58,18,35,59,10,77,59,125,29,8,90,35
185,62,82,86,113,42,38,44,46,20,38,48,13,189,25,56,90,0,73,46
110,79,87,64,122,65,18,73,49,17,48,25,27,142,39,184,71,7,65,35
138,53,102,140,59,45,21,45,19,27,51,35,30,140,39,97,38,0,45,42
100,65,118,163,66,87,29,79,95,44,59,90,26,120,18,66,119,6,36,43
228,109,86,66,46,148,23,50,60,51,59,70,28,312,25,88,60,7,46,49
130,90,96,58,124,199,10,68,45,23,90,74,32,199,1,40,102,14,67,41
137,68,110,84,74,102,11,68,50,55,61,32,39,143,34,33,131,3,57,54
235,89,88,111,73,111,23,85,41,20,55,50,26,145,36,167,73,5,45,22
138,121,108,23,8,173,17,35,41,97,78,18,40,106,23,128,55,6,24,18
166,41,96,53,134,52,33,124,35,26,56,46,46,195,23,100,99,3,52,65
122,60,238,61,88,108,34,34,65,110,32,75,44,149,33,72,88,2,23,32
149,137,117,87,33,146,30,129,87,76,64,59,26,172,37,54,59,10,42,40
124,118,167,76,81,38,24,42,53,49,20,55,0,152,33,52,31,7,48,44
187,141,62,62,26,93,40,90,51,24,37,54,13,152,23,48,50,10,39,45
195,38,160,80,26,48,31,69,105,21,30,56,84,141,27,40,27,10,23,26
130,116,83,18,150,115,20,48,49,29,28,21,23,93,18,19,15,31,36,19
126,75,135,16,128,42,31,51,52,5,24,26,2,68,36,67,46,1,34,28
154,73,94,29,105,62,8,53,67,14,50,11,16,95,55,11,12,9,29,37
149,34,57,27,161,36,32,42,37,8,10,10,8,61,35,4,8,42,33,6
106,25,31,90,127,62,17,57,20,7,38,11,8,103,48,5,32,10,20,15
151,21,43,2,34,54,11,48,8,7,11,18,8,65,26,4,13,41,24,9
100,8,48,3,75,34,6,52,24,3,10,2,8,16,37,3,2,18,6,15
91,17,16,2,28,4,1,17,11,2,12,2,1,21,31,2,0,20,8,5
46,9,6,0,19,4,3,11,3,2,3,1,6,6,12,9,0,18,10,2
38,4,6,3,8,3,5,12,0,1,1,0,4,11,19,1,5,18,2,0
13,1,3,1,4,3,0,7,0,2,2,2,0,6,2,0,7,8,2,1
22,1,4,2,14,1,2,5,1,0,3,3,1,7,12,3,1,12,1,4
33,1,4,2,2,6,0,0,21,1,4,1,1,3,6,6,1,7,0,1
9,4,0,1,3,3,3,6,0,1,2,2,2,4,1,7,0,9,0,0
14,1,2,2,6,1,0,1,1,4,2,13,0,6,4,2,0,2,3,6
48,4,1,11,11,4,1,3,1,9,1,2,1,6,4,9,2,3,2,4
7,11,1,12,7,15,11,0,0,14,8,15,2,10,3,19,1,2,1,0
18,5,13,19,5,7,1,4,10,9,2,16,0,11,5,16,1,0,2,0
6,13,4,13,17,33,12,5,10,6,31,10,0,15,7,3,5,9,1,5
21,10,10,20,13,31,3,6,11,9,6,2,2,29,14,16,1,0,3,4
30,14,31,37,19,11,25,9,7,6,46,11,0,17,29,26,4,3,0,7
21,9,3,41,18,36,8,6,7,3,18,4,0,12,24,2,2,6,13,4
79,20,30,37,44,10,14,6,10,38,39,24,3,17,63,19,0,24,2,0
64,22,2,37,13,44,48,14,8,13,38,15,6,33,20,83,0,14,30,6
55,21,25,33,56,21,13,8,43,29,26,55,5,71,67,41,4,32,9,12
18,50,24,30,55,8,32,10,31,27,39,22,6,64,33,36,0,15,14,33
101,34,14,60,84,21,7,16,66,13,22,48,25,66,26,16,1,3,24,12
63,27,49,3,20,17,38,28,58,13,12,15,9,100,38,12,4,15,6,69
59,36,49,138,13,4,37,40,41,36,4,78,13,92,15,13,0,1,49,46
6,15,54,86,122,8,1,33,120,36,0,70,18,53,12,20,0,41,21,29
26,41,24,57,2,53,37,28,115,22,18,160,4,179,20,21,2,13,31,23
150,68,20,94,77,23,47,6,113,48,27,28,21,118,11,15,0,8,44,3
80,76,35,129,156,29,61,18,74,30,19,34,53,184,4,11,66,40,68,36
