Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2
18:06:00,6.752,0.144,231.850,27.800,0.000,37.000
18:07:00,6.474,0.116,232.250,27.000,0.000,36.000
18:08:00,6.308,0.136,234.660,19.000,0.000,37.000
18:09:00,4.464,0.148,236.200,15.000,0.000,22.000
18:10:00,3.396,0.152,237.070,13.800,0.000,12.000
18:11:00,3.090,0.144,235.780,16.400,0.000,27.000
18:12:00,3.730,0.160,237.430,9.600,0.000,1.000
18:13:00,2.308,0.158,237.260,10.000,0.000,1.000
18:14:00,2.388,0.100,234.250,21.400,0.000,20.000
18:15:00,4.598,0.076,234.200,19.600,0.000,9.000
18:16:00,4.524,0.082,234.310,17.800,0.000,1.000
18:17:00,4.202,0.000,233.290,19.200,0.000,1.000
18:18:00,4.472,0.000,235.610,12.000,0.000,1.000
18:19:00,2.852,0.000,235.250,12.400,0.000,1.000
18:20:00,2.928,0.000,236.040,12.400,0.000,2.000
18:21:00,2.940,0.000,235.510,12.400,0.000,1.000
18:22:00,2.934,0.000,235.680,12.400,0.000,1.000
18:23:00,2.926,0.000,235.200,15.200,0.000,1.000
18:24:00,3.452,0.000,233.740,20.800,0.000,1.000
18:25:00,4.870,0.000,233.840,20.800,0.000,1.000
18:26:00,4.868,0.000,233.790,20.800,0.000,1.000
18:27:00,4.866,0.000,235.500,13.800,0.000,1.000
18:28:00,3.176,0.000,235.840,12.400,0.000,1.000
18:29:00,2.920,0.000,236.150,12.400,0.000,1.000
18:30:00,2.930,0.050,235.810,12.400,0.000,1.000
18:31:00,2.912,0.052,235.410,11.000,0.000,1.000
18:32:00,2.608,0.162,234.820,11.600,0.000,0.000
18:33:00,2.714,0.086,233.760,15.600,0.000,1.000
18:34:00,3.538,0.000,232.480,26.400,0.000,27.000
18:35:00,6.072,0.000,233.540,19.400,0.000,1.000
18:36:00,4.536,0.000,232.320,18.800,0.000,1.000
18:37:00,4.408,0.048,234.020,13.000,0.000,1.000
18:38:00,2.912,0.054,234.760,9.800,0.000,1.000
18:39:00,2.326,0.054,234.670,9.600,0.000,1.000
18:40:00,2.264,0.054,235.270,9.600,0.000,1.000
18:41:00,2.270,0.054,235.120,9.600,0.000,1.000
18:42:00,2.258,0.068,235.800,9.200,0.000,1.000
18:43:00,2.188,0.166,234.810,13.200,0.000,1.000
18:44:00,2.978,0.174,234.380,17.800,0.000,1.000
18:45:00,4.200,0.186,234.200,17.800,0.000,1.000
18:46:00,4.204,0.178,233.980,18.000,0.000,1.000
18:47:00,4.218,0.188,234.990,12.000,0.000,2.000
18:48:00,2.786,0.088,234.670,10.800,0.000,4.000
18:49:00,2.540,0.080,233.920,10.600,0.000,3.000
18:50:00,2.496,0.070,233.510,10.000,0.000,1.000
18:51:00,2.336,0.000,233.440,9.800,0.000,0.000
18:52:00,2.322,0.000,233.640,10.600,0.000,1.000
18:53:00,2.448,0.000,232.390,18.400,0.000,1.000
18:54:00,4.298,0.090,232.250,18.200,0.000,1.000
18:55:00,4.230,0.090,232.320,18.200,0.000,2.000
18:56:00,4.230,0.084,232.790,17.000,0.000,1.000
18:57:00,3.924,0.090,232.090,18.000,0.000,1.000
18:58:00,4.218,0.090,231.960,18.200,0.000,1.000
18:59:00,4.224,0.088,231.990,17.400,0.000,1.000
19:00:00,4.070,0.090,232.360,15.600,0.000,2.000
19:01:00,3.612,0.090,232.710,14.800,0.000,1.000
19:02:00,3.458,0.090,232.010,14.800,0.000,1.000
19:03:00,3.434,0.000,232.780,14.400,0.000,1.000
19:04:00,3.366,0.082,233.080,14.600,0.000,2.000
19:05:00,3.404,0.074,233.690,14.400,0.000,0.000
19:06:00,3.382,0.106,234.440,15.400,0.000,4.000
19:07:00,3.616,0.092,234.600,14.800,0.000,3.000
19:08:00,3.476,0.064,235.120,14.400,0.000,0.000
19:09:00,3.394,0.000,234.280,14.400,0.000,1.000
19:10:00,3.400,0.000,234.190,14.400,0.000,1.000
19:11:00,3.414,0.000,234.690,14.600,0.000,1.000
19:12:00,3.432,0.000,234.260,14.600,0.000,2.000
19:13:00,3.418,0.000,233.300,14.400,0.000,1.000
19:14:00,3.392,0.000,233.430,14.400,0.000,1.000
19:15:00,3.394,0.000,233.450,14.400,0.000,1.000
19:16:00,3.394,0.000,233.910,14.400,0.000,2.000
19:17:00,3.406,0.000,234.430,14.600,0.000,1.000
19:18:00,3.420,0.000,234.340,14.400,0.000,1.000
19:19:00,3.418,0.052,234.580,14.600,0.000,1.000
19:20:00,3.422,0.000,234.020,14.200,0.000,1.000
19:21:00,3.332,0.046,234.290,14.000,0.000,1.000
19:22:00,3.316,0.000,234.360,14.200,0.000,2.000
19:23:00,3.334,0.052,232.640,14.000,0.000,0.000
19:24:00,3.262,0.064,232.960,14.800,0.000,3.000
19:25:00,3.476,0.090,233.470,15.400,0.000,5.000
19:26:00,3.620,0.084,234.980,15.200,0.000,5.000
19:27:00,3.610,0.138,234.340,15.400,0.000,5.000
19:28:00,3.646,0.192,233.920,15.400,0.000,5.000
19:29:00,3.614,0.162,233.940,14.400,0.000,2.000
19:30:00,3.408,0.134,233.720,14.400,0.000,1.000
19:31:00,3.388,0.132,233.200,14.400,0.000,2.000
19:32:00,3.372,0.132,233.100,14.400,0.000,1.000
19:33:00,3.370,0.120,232.290,14.400,0.000,1.000
19:34:00,3.342,0.000,232.450,14.000,0.000,2.000
19:35:00,3.284,0.000,231.970,14.000,0.000,1.000
19:36:00,3.276,0.130,232.420,14.400,0.000,2.000
19:37:00,3.382,0.160,233.380,14.600,0.000,1.000
19:38:00,3.418,0.158,232.690,14.600,0.000,1.000
19:39:00,3.396,0.158,233.200,14.600,0.000,2.000
19:40:00,3.406,0.158,233.260,14.600,0.000,1.000
19:41:00,3.406,0.156,232.840,14.400,0.000,1.000
19:42:00,3.392,0.154,232.390,14.400,0.000,2.000
19:43:00,3.378,0.154,232.140,14.400,0.000,1.000
19:44:00,3.368,0.152,231.570,14.400,0.000,1.000
19:45:00,3.350,0.152,231.660,14.400,0.000,2.000
19:46:00,3.352,0.154,232.220,14.400,0.000,1.000
19:47:00,3.364,0.156,232.810,14.400,0.000,1.000
19:48:00,3.380,0.160,233.770,14.400,0.000,1.000
19:49:00,3.404,0.156,232.820,14.400,0.000,2.000
19:50:00,3.378,0.158,233.220,14.400,0.000,1.000
19:51:00,3.388,0.156,232.840,14.400,0.000,1.000
19:52:00,3.376,0.000,232.750,13.800,0.000,0.000
19:53:00,3.254,0.078,232.640,13.800,0.000,0.000
19:54:00,3.214,0.078,232.200,13.800,0.000,0.000
19:55:00,3.202,0.078,232.200,13.800,0.000,0.000
19:56:00,3.202,0.078,232.580,13.800,0.000,0.000
19:57:00,3.212,0.078,232.400,13.800,0.000,0.000
19:58:00,3.206,0.078,232.660,13.800,0.000,0.000
19:59:00,3.214,0.078,232.430,13.800,0.000,0.000
20:00:00,3.206,0.078,233.020,13.800,0.000,0.000
20:01:00,3.222,0.076,232.800,13.800,0.000,0.000
20:02:00,3.216,0.078,232.790,13.800,0.000,0.000
20:03:00,3.216,0.078,231.980,13.600,0.000,0.000
20:04:00,3.194,0.000,232.880,14.000,0.000,0.000
20:05:00,3.278,0.000,232.520,14.000,0.000,0.000
20:06:00,3.282,0.000,232.870,14.000,0.000,0.000
20:07:00,3.292,0.000,233.780,14.000,0.000,0.000
20:08:00,3.316,0.080,233.690,14.400,0.000,0.000
20:09:00,3.370,0.144,234.040,14.600,0.000,0.000
20:10:00,3.420,0.142,233.930,14.600,0.000,0.000
20:11:00,3.410,0.140,233.620,14.400,0.000,0.000
20:12:00,3.400,0.140,233.640,14.400,0.000,0.000
20:13:00,3.400,0.140,233.260,14.400,0.000,0.000
20:14:00,3.388,0.086,233.900,14.400,0.000,0.000
20:15:00,3.370,0.000,233.680,14.200,0.000,0.000
20:16:00,3.332,0.000,232.830,14.200,0.000,0.000
20:17:00,3.310,0.000,233.000,14.200,0.000,0.000
20:18:00,3.312,0.000,233.080,14.200,0.000,0.000
20:19:00,3.314,0.000,232.690,14.200,0.000,0.000
20:20:00,3.302,0.000,232.910,14.000,0.000,0.000
20:21:00,3.302,0.000,232.870,14.000,0.000,0.000
20:22:00,3.300,0.000,232.420,14.000,0.000,0.000
20:23:00,3.290,0.000,232.310,14.000,0.000,0.000
20:24:00,3.286,0.052,232.790,13.800,0.000,0.000
20:25:00,3.230,0.078,233.050,13.800,0.000,0.000
20:26:00,3.218,0.076,234.570,13.800,0.000,0.000
20:27:00,3.258,0.076,234.790,13.800,0.000,0.000
20:28:00,3.264,0.076,234.600,13.800,0.000,0.000
20:29:00,3.260,0.076,234.540,13.800,0.000,0.000
20:30:00,3.262,0.076,234.600,13.800,0.000,0.000
20:31:00,3.264,0.076,233.770,13.800,0.000,0.000
20:32:00,3.238,0.078,233.500,13.800,0.000,0.000
20:33:00,3.228,0.078,233.270,13.800,0.000,0.000
20:34:00,3.222,0.078,233.370,13.800,0.000,0.000
20:35:00,3.226,0.078,232.640,13.600,0.000,0.000
20:36:00,3.206,0.080,231.950,13.600,0.000,0.000
20:37:00,3.188,0.080,232.210,13.600,0.000,0.000
20:38:00,3.196,0.078,232.500,13.600,0.000,0.000
20:39:00,3.204,0.078,233.630,13.800,0.000,0.000
20:40:00,3.232,0.074,234.430,13.800,0.000,0.000
20:41:00,3.254,0.050,234.630,14.400,0.000,0.000
20:42:00,3.376,0.048,235.050,14.200,0.000,0.000
20:43:00,3.372,0.048,234.960,14.200,0.000,0.000
20:44:00,3.366,0.050,235.770,14.200,0.000,0.000
20:45:00,3.386,0.146,236.760,14.800,0.000,0.000
20:46:00,3.496,0.146,234.590,14.600,0.000,0.000
20:47:00,3.426,0.148,235.130,14.600,0.000,0.000
20:48:00,3.440,0.146,235.140,14.600,0.000,0.000
20:49:00,3.440,0.150,235.750,14.600,0.000,0.000
20:50:00,3.454,0.150,235.690,14.600,0.000,0.000
20:51:00,3.450,0.154,236.860,14.600,0.000,0.000
20:52:00,3.480,0.152,236.720,14.600,0.000,0.000
20:53:00,3.474,0.150,236.050,14.600,0.000,0.000
20:54:00,3.456,0.170,237.540,8.400,0.000,0.000
20:55:00,1.832,0.102,237.440,9.400,0.000,0.000
20:56:00,2.044,0.000,237.000,14.000,0.000,0.000
20:57:00,3.354,0.074,235.550,13.800,0.000,0.000
20:58:00,3.282,0.074,236.510,14.000,0.000,0.000
20:59:00,3.308,0.072,236.760,14.000,0.000,0.000
21:00:00,3.314,0.072,237.110,13.800,0.000,0.000
21:01:00,3.306,0.054,238.720,7.800,0.000,0.000
21:02:00,1.692,0.070,237.660,14.000,0.000,0.000
21:03:00,3.342,0.070,238.200,14.000,0.000,0.000
21:04:00,3.354,0.072,237.460,14.000,0.000,0.000
21:05:00,3.334,0.072,237.360,14.000,0.000,0.000
21:06:00,3.330,0.064,238.130,12.000,0.000,0.000
21:07:00,2.740,0.060,237.740,10.000,0.000,0.000
21:08:00,2.188,0.070,237.260,14.000,0.000,0.000
21:09:00,3.330,0.070,237.690,14.000,0.000,0.000
21:10:00,3.340,0.072,236.440,14.000,0.000,0.000
21:11:00,3.306,0.072,236.230,13.200,0.000,0.000
21:12:00,3.044,0.058,237.700,8.200,0.000,0.000
21:13:00,1.766,0.000,235.730,14.200,0.000,0.000
21:14:00,3.376,0.052,236.510,14.400,0.000,0.000
21:15:00,3.414,0.054,237.110,14.400,0.000,0.000
21:16:00,3.426,0.054,237.060,14.400,0.000,0.000
21:17:00,3.420,0.074,238.630,8.600,0.000,0.000
21:18:00,1.876,0.056,237.580,14.400,0.000,0.000
21:19:00,3.442,0.054,236.870,14.400,0.000,0.000
21:20:00,3.414,0.056,236.940,14.400,0.000,0.000
21:21:00,3.412,0.068,238.170,11.400,0.000,0.000
21:22:00,2.542,0.062,237.420,12.400,0.000,0.000
21:23:00,2.820,0.054,236.910,14.400,0.000,0.000
21:24:00,3.410,0.052,236.240,14.200,0.000,0.000
21:25:00,3.392,0.060,237.170,12.600,0.000,0.000
21:26:00,2.878,0.112,238.590,8.400,0.000,0.000
21:27:00,1.848,0.144,237.430,14.600,0.000,0.000
21:28:00,3.494,0.000,237.730,14.200,0.000,0.000
21:29:00,3.420,0.000,237.200,13.800,0.000,0.000
21:30:00,3.226,0.000,238.410,9.000,0.000,0.000
21:31:00,1.948,0.000,236.600,14.200,0.000,0.000
21:32:00,3.392,0.000,236.120,14.200,0.000,0.000
21:33:00,3.368,0.000,236.540,14.200,0.000,0.000
21:34:00,3.378,0.000,238.480,8.600,0.000,0.000
21:35:00,1.872,0.000,237.270,13.600,0.000,0.000
21:36:00,3.212,0.000,237.060,14.000,0.000,0.000
21:37:00,3.346,0.072,236.490,14.000,0.000,0.000
21:38:00,3.308,0.072,236.280,13.800,0.000,0.000
21:39:00,3.302,0.064,236.890,10.800,0.000,0.000
21:40:00,2.360,0.046,236.640,11.800,0.000,0.000
21:41:00,2.652,0.000,236.580,14.200,0.000,1.000
21:42:00,3.392,0.000,236.830,14.200,0.000,2.000
21:43:00,3.398,0.046,237.750,14.400,0.000,1.000
21:44:00,3.424,0.066,239.690,8.400,0.000,2.000
21:45:00,1.860,0.082,238.950,13.800,0.000,1.000
21:46:00,3.250,0.172,236.460,14.800,0.000,1.000
21:47:00,3.502,0.170,235.980,14.600,0.000,2.000
21:48:00,3.484,0.168,235.850,14.600,0.000,1.000
21:49:00,3.478,0.194,238.190,7.600,0.000,2.000
21:50:00,1.696,0.170,236.280,14.800,0.000,1.000
21:51:00,3.494,0.170,236.400,14.600,0.000,1.000
21:52:00,3.482,0.170,236.460,14.600,0.000,2.000
21:53:00,3.480,0.168,236.280,14.600,0.000,1.000
21:54:00,3.474,0.184,237.330,10.600,0.000,1.000
21:55:00,2.308,0.178,237.090,12.800,0.000,2.000
21:56:00,2.926,0.170,236.390,14.600,0.000,1.000
21:57:00,3.472,0.170,236.750,14.600,0.000,1.000
21:58:00,3.480,0.168,235.730,14.600,0.000,2.000
21:59:00,3.454,0.170,236.030,14.600,0.000,1.000
22:00:00,3.464,0.096,237.680,8.200,0.000,1.000
22:01:00,1.786,0.000,235.990,13.600,0.000,1.000
22:02:00,3.182,0.000,236.260,14.200,0.000,2.000
22:03:00,3.378,0.000,236.030,14.200,0.000,1.000
22:04:00,3.372,0.000,235.700,14.200,0.000,1.000
22:05:00,3.362,0.000,236.080,13.400,0.000,1.000
22:06:00,3.112,0.056,237.310,7.400,0.000,0.000
22:07:00,1.614,0.000,236.140,14.200,0.000,0.000
22:08:00,3.358,0.000,236.610,14.200,0.000,0.000
22:09:00,3.388,0.000,236.930,14.200,0.000,0.000
22:10:00,3.392,0.000,237.970,12.400,0.000,0.000
22:11:00,2.810,0.000,238.020,10.000,0.000,0.000
22:12:00,2.180,0.000,236.060,14.200,0.000,0.000
22:13:00,3.370,0.000,234.450,14.000,0.000,0.000
22:14:00,3.326,0.000,235.310,12.000,0.000,0.000
22:15:00,2.778,0.000,237.100,9.800,0.000,0.000
22:16:00,2.358,0.054,238.680,5.600,0.000,0.000
22:17:00,0.960,0.000,238.760,7.800,0.000,0.000
22:18:00,1.606,0.000,238.590,9.800,0.000,0.000
22:19:00,2.350,0.068,238.870,10.000,0.000,0.000
22:20:00,2.428,0.072,238.970,9.200,19.000,0.000
22:21:00,2.078,0.090,239.930,4.600,38.000,0.000
22:22:00,0.780,0.068,239.050,10.000,37.000,0.000
22:23:00,2.426,0.066,238.460,10.000,37.000,0.000
22:24:00,2.412,0.070,239.680,10.000,38.000,0.000
22:25:00,2.428,0.084,240.720,7.600,37.000,0.000
22:26:00,1.530,0.086,240.870,7.200,38.000,0.000
22:27:00,1.388,0.070,239.710,10.000,37.000,0.000
22:28:00,2.424,0.072,239.890,10.000,37.000,0.000
22:29:00,2.428,0.070,239.480,10.000,38.000,0.000
22:30:00,2.388,0.100,241.640,1.600,38.000,0.000
22:31:00,0.376,0.074,240.070,9.600,37.000,0.000
22:32:00,2.202,0.070,239.770,10.000,5.000,0.000
22:33:00,2.430,0.052,240.050,9.600,1.000,0.000
22:34:00,2.346,0.054,239.750,8.600,1.000,0.000
22:35:00,1.916,0.000,240.580,2.400,37.000,0.000
22:36:00,0.384,0.060,239.200,9.600,35.000,0.000
22:37:00,2.334,0.060,238.840,9.600,20.000,0.000
22:38:00,2.320,0.062,238.390,9.600,0.000,0.000
22:39:00,2.306,0.064,238.390,9.600,0.000,0.000
22:40:00,2.306,0.000,241.060,2.800,0.000,0.000
22:41:00,0.436,0.050,240.890,7.800,0.000,0.000
22:42:00,1.584,0.062,239.460,9.600,0.000,0.000
22:43:00,2.328,0.062,239.270,9.600,0.000,0.000
22:44:00,2.326,0.060,239.570,9.600,0.000,0.000
22:45:00,2.334,0.054,239.990,8.400,0.000,0.000
22:46:00,1.846,0.000,242.040,1.200,0.000,0.000
22:47:00,0.284,0.060,239.890,9.800,0.000,0.000
22:48:00,2.342,0.000,239.910,10.000,0.000,0.000
22:49:00,2.392,0.000,240.020,10.000,0.000,0.000
22:50:00,2.414,0.000,239.970,10.000,0.000,0.000
22:51:00,2.414,0.086,241.270,4.400,0.000,0.000
22:52:00,0.754,0.178,238.640,7.400,0.000,0.000
22:53:00,1.420,0.162,237.470,10.400,0.000,0.000
22:54:00,2.468,0.164,238.050,10.400,0.000,0.000
22:55:00,2.474,0.168,239.030,10.400,0.000,0.000
22:56:00,2.488,0.182,240.280,8.600,0.000,0.000
22:57:00,1.810,0.200,241.360,4.000,0.000,0.000
22:58:00,0.674,0.094,239.420,10.200,0.000,0.000
22:59:00,2.444,0.068,238.900,10.000,0.000,0.000
23:00:00,2.410,0.070,239.130,10.000,0.000,0.000
23:01:00,2.412,0.072,239.370,9.400,0.000,0.000
23:02:00,2.206,0.100,241.580,1.600,0.000,0.000
23:03:00,0.370,0.076,240.110,9.200,0.000,0.000
23:04:00,2.104,0.068,238.730,10.000,0.000,0.000
23:05:00,2.404,0.070,239.520,10.000,0.000,0.000
23:06:00,2.418,0.000,239.740,9.600,0.000,0.000
23:07:00,2.342,0.046,240.960,6.800,0.000,0.000
23:08:00,1.262,0.000,241.640,5.200,0.000,0.000
23:09:00,0.852,0.060,240.050,9.600,0.000,0.000
23:10:00,2.340,0.060,240.070,9.600,0.000,0.000
23:11:00,2.336,0.060,239.990,9.600,0.000,0.000
23:12:00,2.334,0.060,239.740,9.600,0.000,0.000
23:13:00,2.330,0.000,241.170,6.000,0.000,0.000
23:14:00,1.038,0.000,242.390,2.400,0.000,0.000
23:15:00,0.386,0.060,240.410,9.600,0.000,0.000
23:16:00,2.350,0.060,240.500,9.600,0.000,0.000
23:17:00,2.346,0.060,240.550,9.600,0.000,0.000
23:18:00,2.346,0.052,240.970,8.400,0.000,0.000
23:19:00,1.834,0.046,241.580,6.600,0.000,0.000
23:20:00,1.222,0.060,240.210,9.600,0.000,0.000
23:21:00,2.342,0.060,239.980,9.600,0.000,0.000
23:22:00,2.334,0.052,240.650,8.000,0.000,0.000
23:23:00,1.666,0.000,241.680,6.600,0.000,0.000
23:24:00,1.198,0.058,240.700,9.600,0.000,0.000
23:25:00,2.350,0.000,240.700,9.800,0.000,0.000
23:26:00,2.398,0.072,240.110,10.200,0.000,0.000
23:27:00,2.444,0.098,241.710,2.000,0.000,0.000
23:28:00,0.406,0.072,240.130,10.000,0.000,0.000
23:29:00,2.434,0.136,240.240,10.400,0.000,0.000
23:30:00,2.502,0.176,240.530,10.400,0.000,0.000
23:31:00,2.518,0.190,241.360,7.600,0.000,0.000
23:32:00,1.516,0.188,241.020,7.600,0.000,0.000
23:33:00,1.498,0.174,240.060,10.400,0.000,0.000
23:34:00,2.508,0.174,240.090,10.400,0.000,0.000
23:35:00,2.504,0.172,239.490,10.400,0.000,0.000
23:36:00,2.492,0.204,242.160,4.800,0.000,0.000
23:37:00,0.814,0.180,240.950,9.800,0.000,0.000
23:38:00,2.304,0.182,241.740,10.400,0.000,0.000
23:39:00,2.530,0.000,241.180,9.800,0.000,0.000
23:40:00,2.378,0.000,243.730,2.400,0.000,0.000
23:41:00,0.384,0.058,241.480,9.800,0.000,0.000
23:42:00,2.370,0.058,241.130,9.600,0.000,0.000
23:43:00,2.358,0.058,240.960,9.600,0.000,0.000
23:44:00,2.352,0.000,242.940,2.400,0.000,0.000
23:45:00,0.416,0.062,240.740,11.000,0.000,0.000
23:46:00,2.654,0.060,241.230,10.400,0.000,0.000
23:47:00,2.540,0.058,241.790,10.800,0.000,0.000
23:48:00,2.526,0.000,241.830,5.400,0.000,0.000
23:49:00,1.206,0.148,238.710,16.600,0.000,0.000
23:50:00,3.844,0.140,237.990,17.600,0.000,0.000
23:51:00,4.122,0.000,238.890,14.800,0.000,0.000
23:52:00,3.458,0.050,240.260,9.200,0.000,0.000
23:53:00,1.988,0.000,240.880,2.400,0.000,0.000
23:54:00,0.596,0.000,240.690,6.800,0.000,0.000
23:55:00,1.290,0.060,239.430,11.400,0.000,1.000
23:56:00,2.730,0.062,239.810,11.400,0.000,2.000
23:57:00,2.734,0.066,241.270,11.400,0.000,1.000
23:58:00,2.764,0.070,241.630,11.000,0.000,1.000
23:59:00,2.586,0.152,242.730,4.400,0.000,2.000
00:00:00,1.044,0.220,242.200,7.400,0.000,1.000
00:01:00,1.520,0.194,240.140,12.600,0.000,2.000
00:02:00,3.038,0.194,239.970,12.400,0.000,1.000
00:03:00,2.974,0.198,240.390,11.800,0.000,2.000
00:04:00,2.846,0.198,240.590,11.800,0.000,1.000
00:05:00,2.848,0.202,241.140,11.800,0.000,1.000
00:06:00,2.858,0.208,241.620,10.800,0.000,2.000
00:07:00,2.472,0.244,243.750,3.000,0.000,1.000
00:08:00,0.658,0.334,242.090,4.800,0.000,2.000
00:09:00,0.838,0.298,239.450,10.800,0.000,1.000
00:10:00,2.608,0.296,239.440,10.800,0.000,1.000
00:11:00,2.598,0.286,238.710,10.800,0.000,2.000
00:12:00,2.560,0.278,236.950,10.600,0.000,1.000
00:13:00,2.526,0.194,237.550,10.400,0.000,1.000
00:14:00,2.472,0.166,238.480,8.000,0.000,1.000
00:15:00,1.658,0.184,239.790,1.800,0.000,2.000
00:16:00,0.422,0.178,239.470,4.600,0.000,1.000
00:17:00,0.790,0.120,238.510,10.200,0.000,1.000
00:18:00,2.436,0.056,239.030,10.000,0.000,1.000
00:19:00,2.396,0.000,238.370,9.800,0.000,1.000
00:20:00,2.338,0.062,238.380,9.600,0.000,0.000
00:21:00,2.304,0.000,240.560,1.200,0.000,0.000
00:22:00,0.276,0.000,239.840,4.600,0.000,0.000
00:23:00,0.712,0.060,239.110,9.600,0.000,0.000
00:24:00,2.332,0.058,239.990,9.600,0.000,0.000
00:25:00,2.344,0.058,240.640,9.800,0.000,0.000
00:26:00,2.354,0.060,239.450,9.600,0.000,0.000
00:27:00,2.332,0.056,241.400,9.800,0.000,0.000
00:28:00,2.368,0.000,243.680,4.000,0.000,0.000
00:29:00,0.612,0.000,244.030,1.200,0.000,0.000
00:30:00,0.286,0.050,242.070,8.800,0.000,0.000
00:31:00,1.952,0.056,241.860,9.800,0.000,0.000
00:32:00,2.376,0.056,241.700,9.800,0.000,0.000
00:33:00,2.374,0.000,240.000,10.000,0.000,0.000
00:34:00,2.406,0.094,242.000,5.600,0.000,0.000
00:35:00,1.004,0.104,242.580,1.600,0.000,0.000
00:36:00,0.388,0.090,242.300,7.400,0.000,0.000
00:37:00,1.458,0.078,241.860,10.200,0.000,0.000
00:38:00,2.480,0.074,240.760,10.200,0.000,0.000
00:39:00,2.454,0.078,241.520,10.200,0.000,0.000
00:40:00,2.468,0.084,241.880,9.000,0.000,0.000
00:41:00,2.028,0.108,243.650,1.600,0.000,0.000
00:42:00,0.382,0.098,242.620,5.200,0.000,0.000
00:43:00,0.902,0.076,241.430,10.200,0.000,0.000
00:44:00,2.466,0.076,241.180,10.200,0.000,0.000
00:45:00,2.456,0.074,240.820,10.000,0.000,0.000
00:46:00,2.450,0.074,240.780,10.000,0.000,0.000
00:47:00,2.448,0.000,242.940,5.600,0.000,0.000
00:48:00,0.930,0.000,243.840,1.200,0.000,0.000
00:49:00,0.286,0.000,243.110,7.200,0.000,0.000
00:50:00,1.376,0.048,241.980,10.000,0.000,0.000
00:51:00,2.456,0.048,242.010,10.000,0.000,0.000
00:52:00,2.456,0.046,241.380,10.000,0.000,0.000
00:53:00,2.444,0.048,240.910,9.200,0.000,0.000
00:54:00,2.122,0.070,242.130,1.400,0.000,0.000
00:55:00,0.356,0.062,241.500,5.600,0.000,0.000
00:56:00,0.952,0.000,240.450,10.000,0.000,0.000
00:57:00,2.426,0.000,240.350,10.000,0.000,0.000
00:58:00,2.420,0.000,240.650,10.000,0.000,0.000
00:59:00,2.412,0.000,242.350,5.400,0.000,0.000
01:00:00,1.008,0.000,243.400,1.800,0.000,0.000
01:01:00,0.430,0.088,240.690,11.400,0.000,0.000
01:02:00,2.676,0.208,239.130,15.600,0.000,0.000
01:03:00,3.766,0.258,238.080,19.600,0.000,13.000
01:04:00,4.582,0.150,237.380,22.400,0.000,35.000
01:05:00,5.282,0.096,241.350,10.400,0.000,28.000
01:06:00,2.362,0.084,240.950,13.600,0.000,37.000
