Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH
18:00:00,4.8,1776,461,27.4,1488,383,702,172,2333,1704,16.5,29.6
19:00:00,6.9,1640,401,24.0,1404,351,743,165,2191,1654,15.4,32.6
20:00:00,6.1,1313,197,12.8,1076,240,957,136,1707,1285,15.5,32.6
21:00:00,3.9,965,61,4.7,749,94,1325,85,1333,821,16.2,27.5
22:00:00,1.5,913,26,2.6,629,47,1565,53,1252,552,15.8,29.7
23:00:00,1,1080,55,5.9,805,122,1254,97,1375,816,16.0,31.8
0:00:00,1.7,1044,53,6.4,829,133,1247,110,1378,832,16.3,35.2
1:00:00,1.9,988,40,4.1,718,82,1396,91,1304,692,18.7,36.9
2:00:00,1.4,889,21,1.9,574,-200,1680,-200,1187,512,20.5,41.0
3:00:00,0.8,831,10,1.1,506,21,1893,32,1134,384,19.3,44.7
4:00:00,-200,847,7,1.0,501,30,1895,44,1155,394,20.0,48.1
5:00:00,0.6,927,17,1.8,571,56,1685,71,1223,487,21.4,50.0
6:00:00,0.8,1091,33,4.4,730,109,1387,104,1361,748,21.5,53.1
7:00:00,1.4,1587,202,17.9,1236,307,897,141,1900,1400,21.6,53.6
8:00:00,4.4,1545,-200,22.1,1353,-200,767,-200,2058,1588,21.6,54.8
9:00:00,-200,1350,208,14.0,1118,187,912,122,1712,1237,21.7,57.3
10:00:00,3.1,1263,166,11.6,1037,216,969,143,1598,1167,21.0,58.4
11:00:00,2.7,1206,114,10.2,986,143,1035,113,1537,959,20.0,59.4
12:00:00,2.1,1252,140,11.0,1016,160,1008,116,1593,983,19.3,54.8
13:00:00,2.5,1287,169,12.8,1078,163,949,123,1660,1061,18.5,47.9
14:00:00,2.7,1353,185,14.2,1122,190,922,126,1740,1139,17.7,41.3
15:00:00,2.9,1309,165,12.7,1073,178,954,120,1657,1112,18.5,36.9
16:00:00,2.8,1274,133,11.7,1041,150,1006,119,1610,994,17.0,26.0
17:00:00,2.4,1510,233,19.3,1277,206,812,149,1910,1410,16.8,25.2
18:00:00,3.9,1525,242,18.2,1246,202,821,145,1847,1448,15.5,25.4
19:00:00,3.7,1843,488,32.6,1610,340,624,170,2390,1887,15.3,35.1
20:00:00,6.6,1598,333,20.1,1299,274,752,149,1941,1627,15.0,47.6
21:00:00,4.4,1484,215,14.3,1127,253,839,139,1723,1491,14.8,31.3
22:00:00,3.5,1677,367,21.8,1346,300,741,134,2062,1657,15.7,35.0
23:00:00,5.4,1280,122,9.6,964,193,963,113,1544,1285,16.2,37.9
0:00:00,2.7,1196,67,7.4,873,139,1071,97,1463,1144,16.3,44.4
1:00:00,1.9,1184,43,5.4,782,83,1176,82,1365,1043,17.7,51.1
2:00:00,1.6,1172,46,5.4,783,-200,1179,-200,1380,996,18.3,53.5
3:00:00,1.7,1147,56,6.2,821,109,1132,83,1412,992,20.1,53.6
4:00:00,-200,978,30,2.6,625,62,1420,65,1274,819,22.6,52.7
5:00:00,1,1100,27,2.9,646,53,1406,60,1268,835,24.6,54.9
6:00:00,1.2,1112,47,5.1,770,139,1228,77,1409,940,24.9,79.1
7:00:00,1.5,1336,132,11.8,1043,256,935,96,1678,1192,24.9,78.6
8:00:00,2.7,1408,239,15.1,1153,295,830,119,1777,1411,24.0,81.8
9:00:00,3.7,1447,160,12.9,1081,250,869,126,1667,1465,23.2,80.2
10:00:00,3.2,1542,283,16.1,1184,296,808,158,1780,1583,22.5,77.4
11:00:00,4.1,1451,210,14.0,1117,239,875,161,1679,1387,22.2,66.5
12:00:00,3.6,1328,154,12.3,1059,153,987,124,1600,1101,22.6,55.8
13:00:00,2.8,1207,112,8.6,924,118,1088,102,1488,850,21.0,45.3
14:00:00,2,1240,108,9.2,947,119,1049,116,1532,947,19.8,39.4
15:00:00,2,1306,111,10.2,987,138,1004,124,1554,1078,17.7,31.6
16:00:00,2.5,1326,97,10.6,1000,148,976,125,1602,1084,17.6,29.0
17:00:00,2.3,1473,191,15.5,1163,227,831,148,1779,1395,17.4,28.8
18:00:00,3.2,1609,258,19.6,1286,277,758,165,1922,1612,17.4,28.0
19:00:00,4.2,1611,284,19.2,1274,279,754,161,1915,1697,17.2,38.1
20:00:00,4.2,1621,269,18.3,1247,283,762,159,1860,1886,17.0,32.0
21:00:00,4.2,1444,180,13.1,1089,214,844,143,1748,1624,16.8,31.5
22:00:00,3.1,1418,116,10.9,1010,172,892,130,1603,1536,17.6,36.8
23:00:00,2.6,1534,93,11.0,1013,190,889,129,1611,1535,18.0,36.8
0:00:00,2.9,1484,131,11.9,1045,174,880,119,1624,1530,18.0,37.8
1:00:00,2.8,1367,92,8.6,925,128,953,104,1543,1337,18.2,39.2
2:00:00,2.5,1344,132,9.7,968,-200,921,-200,1620,1278,19.7,42.6
3:00:00,2.4,1130,56,5.2,773,70,1130,82,1452,1051,21.0,45.6
4:00:00,-200,1062,32,3.7,691,53,1272,70,1377,929,20.7,47.9
5:00:00,1.2,1076,29,2.5,618,44,1395,63,1333,872,19.5,49.0
6:00:00,1,1028,27,2.4,615,74,1384,67,1340,853,18.5,54.1
7:00:00,0.9,1155,36,4.2,722,101,1225,84,1414,959,19.6,52.7
8:00:00,1.4,1235,57,6.4,828,118,1055,83,1527,1093,19.9,57.9
9:00:00,1.6,1332,129,8.6,923,144,952,98,1614,1225,20.0,54.1
10:00:00,2.2,1445,148,10.9,1009,176,878,114,1696,1355,19.2,57.6
11:00:00,2.8,1416,145,10.7,1002,161,907,119,1677,1262,19.3,49.4
12:00:00,2.8,1281,93,7.5,880,113,1084,104,1525,980,18.2,44.2
13:00:00,2,1207,84,7.5,879,103,1104,102,1490,872,17.8,40.0
14:00:00,1.8,1258,99,8.2,906,112,1081,107,1511,900,17.6,29.7
15:00:00,1.9,1458,150,11.9,1045,170,974,129,1646,1099,16.0,24.1
16:00:00,3,1438,156,12.0,1051,180,943,128,1668,1206,16.9,24.1
17:00:00,2.9,1478,122,12.2,1055,160,929,121,1671,1262,15.7,20.4
18:00:00,2.5,1808,262,20.6,1312,261,753,157,1993,1698,14.8,21.3
19:00:00,4.6,1898,341,23.1,1381,325,681,173,2103,1905,14.8,18.9
20:00:00,5.9,1560,214,14.7,1140,217,784,146,1818,1648,14.6,19.4
21:00:00,3.4,1324,100,9.0,940,146,924,121,1587,1423,15.2,19.9
22:00:00,2.1,1349,79,8.8,933,152,933,119,1617,1349,15.5,24.2
23:00:00,2.2,1239,66,7.4,872,104,985,99,1547,1250,15.7,26.2
0:00:00,1.8,1239,73,6.9,853,106,1010,93,1543,1174,16.0,36.7
1:00:00,1.8,1224,66,7.0,855,108,998,88,1566,1149,16.7,41.9
2:00:00,1.8,1078,44,4.4,734,-200,1128,-200,1487,1021,18.6,44.5
3:00:00,1.1,1078,44,4.0,711,66,1150,71,1468,1013,20.4,46.9
4:00:00,-200,1075,39,3.9,703,88,1156,74,1464,1010,20.6,50.8
5:00:00,1,1157,51,6.4,830,138,1030,80,1584,1083,21.6,51.9
6:00:00,1.4,1314,107,9.7,966,228,897,89,1710,1235,21.4,54.3
7:00:00,2.2,1797,336,25.9,1451,360,652,114,2323,1680,20.7,52.5
8:00:00,5.5,1961,618,36.7,1701,478,537,149,2665,2184,21.3,53.1
9:00:00,8.1,1771,438,26.6,1470,394,622,157,2262,1973,20.8,57.1
10:00:00,5.8,1564,334,20.1,1300,319,710,155,2029,1798,20.3,62.3
11:00:00,4.2,1430,221,14.1,1120,201,831,134,1783,1522,19.7,57.7
12:00:00,3.1,1417,207,14.9,1146,171,830,119,1831,1404,19.4,51.7
13:00:00,2.9,1400,191,15.4,1162,159,838,111,1829,1263,20.1,44.4
14:00:00,2.9,1317,185,12.1,1053,153,926,104,1707,1137,20.4,35.2
15:00:00,2.5,1318,141,11.5,1033,143,950,99,1675,1068,20.1,28.6
16:00:00,2.3,1445,214,14.8,1141,156,857,110,1824,1252,19.9,25.5
17:00:00,2.8,1917,471,32.1,1601,314,631,162,2447,1843,18.2,20.8
18:00:00,6.1,2040,685,39.2,1754,404,542,187,2679,2122,18.4,18.1
19:00:00,8,1895,538,31.0,1573,320,565,165,2443,1992,18.7,17.7
20:00:00,6.5,1595,319,19.9,1294,256,678,145,2058,1707,18.2,17.4
21:00:00,4.2,1439,224,15.3,1159,193,764,125,1856,1494,18.5,20.6
22:00:00,3.2,1142,67,6.9,852,89,1008,101,1547,1164,19.3,26.0
23:00:00,1.4,1304,155,11.1,1019,127,852,103,1731,1272,20.2,27.2
0:00:00,2.1,1074,49,5.4,784,79,1098,88,1483,1040,20.8,30.2
1:00:00,1.2,968,29,2.8,640,43,1320,61,1386,867,21.9,35.4
2:00:00,0.8,929,25,2.3,608,-200,1376,-200,1364,826,23.5,40.7
3:00:00,0.7,941,25,2.6,626,59,1316,59,1373,840,19.8,41.2
4:00:00,-200,937,17,2.0,585,38,1412,52,1348,793,20.2,45.1
5:00:00,0.6,1017,27,3.5,681,82,1246,64,1418,870,20.2,49.0
6:00:00,0.9,1171,50,5.1,770,99,1162,70,1467,930,19.7,50.6
7:00:00,1.3,1541,218,16.2,1185,263,770,97,1889,1407,20.2,50.5
8:00:00,3.4,1539,285,19.7,1287,229,698,95,2055,1507,20.1,54.4
9:00:00,3.7,1735,437,25.1,1431,396,628,150,2211,1843,20.2,56.0
10:00:00,5.3,1571,327,20.0,1297,314,730,162,1973,1729,20.0,54.8
11:00:00,4.1,1452,283,18.3,1250,217,776,154,1868,1583,18.3,50.6
12:00:00,3.3,1579,366,22.3,1359,252,724,161,1998,1671,18.9,46.1
13:00:00,4,1466,318,20.4,1309,263,773,161,1897,1491,17.3,43.0
14:00:00,3.8,1280,228,14.6,1136,180,893,128,1675,1240,17.1,32.8
15:00:00,2.8,1407,201,16.6,1197,184,905,129,1759,1313,17.3,25.9
16:00:00,2.9,1389,199,15.8,1173,190,898,133,1739,1363,17.3,23.2
17:00:00,2.9,1447,237,17.8,1235,184,859,139,1778,1296,16.9,18.3
18:00:00,3.4,1551,261,19.1,1271,181,800,137,1875,1432,16.9,15.3
19:00:00,3.9,1474,230,15.8,1173,166,854,143,1776,1432,16.8,16.1
20:00:00,3.2,1800,349,24.9,1426,317,700,177,2106,2034,16.9,14.2
21:00:00,5.1,1379,183,13.5,1101,184,818,138,1710,1602,16.7,16.7
22:00:00,2.6,1201,88,9.1,943,130,935,117,1560,1362,16.8,23.4
23:00:00,1.7,1205,85,8.6,925,132,922,107,1547,1314,16.8,27.7
0:00:00,1.7,1072,47,5.4,784,95,1066,90,1442,1114,16.9,32.2
1:00:00,1.2,998,34,4.1,714,70,1169,79,1383,992,17.4,35.7
2:00:00,0.9,933,26,2.6,625,-200,1292,-200,1332,884,18.0,38.6
3:00:00,0.7,883,17,1.9,577,54,1396,60,1303,808,21.2,40.1
4:00:00,-200,869,11,1.6,554,28,1460,40,1268,667,22.4,43.3
5:00:00,0.5,891,18,1.9,576,46,1417,53,1289,733,22.6,45.6
6:00:00,0.5,1173,84,7.5,878,160,1038,84,1556,1052,23.6,52.8
7:00:00,1.6,1587,260,21.4,1334,320,702,108,1999,1534,23.5,56.1
8:00:00,4.1,1852,534,36.4,1696,377,553,127,2535,1931,22.9,57.3
9:00:00,6.6,1522,368,21.3,1331,280,703,134,2026,1734,22.3,59.4
10:00:00,4.3,1438,200,15.4,1161,221,819,135,1782,1595,21.6,56.6
11:00:00,2.9,1393,145,12.5,1067,210,905,142,1654,1490,21.2,53.9
12:00:00,2.5,1452,188,15.1,1152,204,861,153,1747,1508,20.8,49.0
13:00:00,2.8,1389,152,13.7,1108,161,887,123,1712,1334,20.4,44.3
14:00:00,2.6,1207,103,10.4,994,135,1013,104,1520,1045,20.1,34.3
15:00:00,2,1365,193,15.2,1154,186,940,129,1679,1221,19.5,27.2
16:00:00,2.9,1247,134,12.3,1060,147,1032,114,1525,1069,19.3,26.1
17:00:00,2.5,1557,386,27.0,1478,299,793,158,1981,1569,19.7,23.2
18:00:00,5,1973,577,38.4,1737,411,617,194,2414,2306,19.7,18.7
19:00:00,7.6,1975,523,35.1,1667,347,597,182,2416,2359,19.9,17.2
20:00:00,6.7,1795,472,27.2,1485,336,653,180,2174,2050,18.4,18.8
21:00:00,5.7,1444,206,15.0,1150,202,770,136,1727,1727,18.9,18.8
22:00:00,2.8,1488,216,15.7,1171,178,731,127,1778,1705,18.1,22.1
23:00:00,2.6,1371,159,13.0,1083,154,796,116,1669,1551,20.4,25.9
0:00:00,2.3,1161,70,8.1,904,92,947,107,1502,1240,20.6,28.2
1:00:00,1.4,1064,44,5.5,787,61,1057,88,1407,1115,19.3,32.6
2:00:00,1,970,42,3.6,687,-200,1196,-200,1351,969,22.2,34.3
3:00:00,0.7,954,28,2.9,645,60,1260,78,1334,925,23.0,34.1
4:00:00,-200,931,20,2.5,623,37,1293,57,1307,828,24.3,39.3
5:00:00,0.6,938,26,3.0,650,68,1251,71,1333,893,22.0,39.5
6:00:00,0.7,1166,78,7.7,885,139,1005,85,1551,1075,22.9,37.8
7:00:00,1.5,1643,319,23.3,1384,339,667,124,2094,1610,23.2,43.8
8:00:00,4.7,1934,506,35.8,1682,421,541,151,2468,2051,23.0,44.3
9:00:00,6.6,1617,-200,21.3,1333,349,686,150,2010,1819,22.4,51.4
10:00:00,4.5,1473,-200,14.3,1127,224,831,152,1752,1568,21.7,50.4
11:00:00,2.8,1379,-200,12.5,1068,171,899,139,1663,1374,21.2,48.2
12:00:00,2.2,1385,-200,12.2,1056,149,891,133,1648,1268,20.8,42.7
13:00:00,2.2,1379,-200,13.1,1087,137,901,126,1660,1144,20.0,35.8
14:00:00,2.3,1322,-200,14.4,1129,149,934,128,1639,1109,19.7,27.5
15:00:00,2.2,1496,-200,16.8,1205,172,822,169,1767,1347,19.9,21.0
16:00:00,2.8,1409,-200,14.5,1131,166,873,149,1689,1206,20.1,19.6
17:00:00,2.7,1513,-200,21.5,1338,214,764,156,1957,1397,20.1,18.2
18:00:00,3.7,1667,-200,26.4,1464,280,683,168,2118,1588,19.6,16.6
19:00:00,5.1,1667,-200,26.0,1453,276,684,176,2051,1569,19.1,14.9
20:00:00,5.1,1430,-200,14.1,1121,178,814,135,1732,1322,18.4,15.1
21:00:00,3.2,1333,-200,10.3,989,129,885,121,1621,1194,18.4,14.7
22:00:00,2.1,1262,-200,8.3,911,95,948,99,1545,1062,19.2,14.2
23:00:00,1.7,1287,-200,8.9,936,126,918,106,1606,1040,19.4,18.7
0:00:00,2,1134,-200,6.6,840,103,1021,96,1501,917,19.1,22.0
1:00:00,1.6,999,-200,3.6,688,48,1229,63,1380,594,20.3,22.5
2:00:00,0.9,961,-200,2.5,622,-200,1382,-200,1301,430,23.1,24.6
3:00:00,0.7,934,-200,1.8,569,20,1440,32,1280,397,25.1,27.2
4:00:00,-200,913,-200,1.3,525,18,1620,28,1260,370,25.8,32.2
5:00:00,0.5,969,-200,2.3,607,56,1373,61,1324,438,23.7,32.7
6:00:00,0.7,1182,-200,6.7,845,115,1054,99,1539,704,23.1,32.0
7:00:00,1.5,1740,-200,22.8,1372,320,671,157,2144,1476,23.9,34.8
8:00:00,4.8,1819,-200,31.3,1582,357,575,166,2456,1716,23.8,40.2
9:00:00,6.2,1427,-200,19.2,1275,253,701,149,1980,1398,23.2,46.6
10:00:00,4,1390,-200,16.4,1191,218,759,135,1879,1268,21.8,46.0
11:00:00,3.3,1283,-200,14.0,1117,192,813,127,1751,1188,21.7,42.3
12:00:00,2.8,1304,-200,15.3,1157,176,793,122,1801,1171,21.3,41.8
13:00:00,3,1364,-200,16.7,1202,198,771,135,1875,1250,20.4,36.6
14:00:00,3.3,1410,-200,19.0,1268,212,724,139,1957,1344,19.6,30.7
15:00:00,3.5,1476,-200,19.4,1280,249,708,147,1955,1378,19.3,23.6
16:00:00,4,1522,-200,20.9,1320,270,690,158,2005,1435,18.4,25.8
17:00:00,4.6,1442,-200,20.2,1301,231,704,146,1952,1372,18.2,21.8
18:00:00,4.1,1469,-200,21.7,1344,251,677,144,1997,1471,17.9,20.5
19:00:00,4.5,1467,-200,19.8,1292,210,698,138,1942,1439,17.5,20.1
20:00:00,3.9,1421,-200,16.7,1202,249,748,143,1854,1429,17.2,21.0
21:00:00,4,1175,-200,9.1,945,143,904,116,1604,1081,17.6,22.6
22:00:00,2.2,1215,-200,8.3,912,127,948,109,1547,993,17.9,27.6
23:00:00,2.1,1127,-200,5.8,802,104,1064,92,1447,837,16.1,35.1
0:00:00,1.7,1090,-200,5.2,773,86,1105,83,1429,761,17.1,39.7
1:00:00,1.6,1017,-200,4.1,718,74,1182,81,1382,650,20.8,42.2
2:00:00,1.3,997,-200,3.4,677,-200,1252,-200,1359,591,20.6,43.8
3:00:00,1.3,945,-200,2.9,646,44,1308,55,1332,505,22.1,45.6
4:00:00,-200,956,-200,3.1,661,42,1260,53,1351,518,24.0,45.2
5:00:00,0.8,966,-200,2.5,622,63,1317,67,1342,571,25.7,45.5
6:00:00,0.8,1064,-200,4.3,728,115,1161,91,1461,842,25.5,43.6
7:00:00,1.1,1300,-200,8.9,935,170,902,113,1623,1145,25.2,48.2
8:00:00,2.1,1348,-200,10.5,998,147,834,102,1689,1218,25.4,48.3
9:00:00,2.4,1425,-200,12.5,1068,166,776,107,1764,1341,24.4,51.0
10:00:00,2.6,1474,-200,12.3,1061,195,768,113,1768,1406,23.0,48.1
11:00:00,2.8,1490,-200,11.7,1039,182,782,108,1757,1422,21.8,47.8
12:00:00,2.6,1495,-200,11.7,1040,168,809,105,1735,1373,20.9,46.8
13:00:00,2.6,1376,-200,9.3,953,125,900,93,1636,1153,20.2,40.7
14:00:00,2.1,1305,-200,7.6,884,95,980,87,1573,927,19.3,35.3
15:00:00,1.7,1283,-200,6.7,844,79,1036,76,1539,766,19.2,38.3
16:00:00,1.6,1392,-200,9.7,967,119,930,94,1649,941,20.4,29.6
17:00:00,2.1,1452,-200,12.4,1063,142,856,110,1774,1146,18.0,34.9
18:00:00,2.3,1633,-200,16.6,1199,215,734,136,1919,1417,17.5,35.2
19:00:00,3.5,1625,-200,16.4,1191,229,733,139,1885,1442,17.2,39.0
20:00:00,3.9,1535,-200,13.7,1108,206,785,125,1820,1323,16.4,41.7
21:00:00,3.3,1323,-200,9.9,973,147,864,111,1712,1125,16.8,42.7
22:00:00,2.3,1309,-200,8.9,937,122,905,97,1672,1036,16.9,43.4
23:00:00,2.1,1456,-200,10.6,999,175,835,107,1714,1202,17.0,42.6
0:00:00,2.8,1300,-200,7.4,872,133,941,90,1577,1054,18.8,44.1
1:00:00,2.1,1203,-200,6.2,823,89,1004,84,1526,903,20.3,45.2
2:00:00,1.6,1195,-200,6.5,836,-200,987,-200,1554,885,23.7,45.7
3:00:00,1.6,1117,-200,5.8,802,85,1029,87,1539,818,26.6,45.3
4:00:00,-200,1062,-200,4.0,711,55,1136,66,1461,700,26.2,45.9
5:00:00,1.1,947,-200,2.1,594,24,1300,36,1390,580,26.3,44.8
6:00:00,0.7,1065,-200,3.6,687,72,1143,62,1492,815,26.6,46.3
7:00:00,0.8,1155,-200,4.4,734,122,1062,91,1528,1035,26.3,49.0
8:00:00,1.2,1220,-200,5.4,782,111,996,89,1560,1067,25.6,50.7
9:00:00,1.4,1301,-200,7.1,862,123,914,93,1633,1114,25.1,52.7
10:00:00,1.7,1279,-200,7.3,870,106,911,81,1646,1000,23.8,49.3
11:00:00,1.8,1267,-200,7.6,883,103,953,82,1617,906,23.3,46.2
12:00:00,1.8,1239,-200,6.8,848,102,981,80,1568,822,22.4,44.5
13:00:00,1.9,1128,-200,4.6,742,48,1144,48,1507,610,21.7,43.6
14:00:00,1.3,1243,-200,8.4,916,63,962,61,1669,657,20.5,39.1
15:00:00,1.6,1208,-200,6.9,853,98,1060,89,1506,647,19.5,42.1
16:00:00,1.9,1306,-200,9.0,938,132,961,105,1607,762,18.7,38.3
17:00:00,2.3,1546,-200,15.1,1151,173,769,116,1874,1122,19.3,39.2
18:00:00,3.8,1501,-200,12.6,1071,185,823,119,1744,1130,17.6,37.0
19:00:00,3.5,1605,-200,15.1,1153,266,769,144,1840,1637,16.8,38.4
20:00:00,4.3,1316,-200,9.9,974,188,883,123,1673,1272,17.8,39.9
21:00:00,2.8,1195,-200,8.0,898,122,933,105,1594,1098,16.1,39.2
22:00:00,1.9,1211,-200,7.9,896,112,920,93,1624,1066,15.8,41.2
23:00:00,1.9,1161,-200,6.1,815,93,995,86,1582,909,17.0,44.9
0:00:00,1.7,1095,-200,5.1,767,74,1050,76,1547,818,16.0,46.5
1:00:00,1.5,897,-200,1.7,563,23,1417,33,1355,472,17.8,44.9
2:00:00,0.6,842,-200,0.7,468,-200,1813,-200,1274,394,20.6,44.1
3:00:00,0.4,854,-200,0.8,481,17,1756,27,1304,396,23.6,45.6
4:00:00,-200,845,-200,0.7,472,15,1786,23,1278,378,23.7,46.0
5:00:00,0.3,942,-200,2.0,586,41,1480,46,1373,432,24.7,45.8
6:00:00,0.6,1090,-200,5.1,768,86,1072,76,1538,699,25.9,48.3
7:00:00,1.2,1514,-200,17.7,1230,226,732,116,1996,1252,26.8,47.1
8:00:00,3.6,1379,-200,18.4,1252,214,711,115,1962,1237,26.6,48.5
9:00:00,3.7,1074,-200,6.9,854,115,1032,83,1484,772,24.8,49.4
10:00:00,1.8,1090,-200,7.3,868,124,1026,87,1509,766,23.1,51.8
11:00:00,1.6,1110,-200,9.6,964,122,947,90,1577,829,22.2,49.3
12:00:00,1.9,1102,-200,10.4,994,107,955,87,1599,783,21.1,39.9
13:00:00,2,1100,-200,11.2,1021,133,952,99,1607,822,20.0,35.8
14:00:00,2.2,1094,-200,10.7,1003,130,965,99,1574,813,19.1,29.1
15:00:00,2.1,1076,451,11.6,1034,150,964,101,1544,813,18.8,26.9
16:00:00,2.3,1152,185,12.4,1062,138,928,103,1606,850,18.5,23.3
17:00:00,2.6,1407,426,18.3,1249,213,720,129,1932,1276,18.4,21.4
18:00:00,3.8,1438,672,21.0,1325,232,678,143,1993,1401,16.8,19.6
19:00:00,4.4,1425,624,21.0,1325,238,678,146,1965,1356,17.9,20.8
20:00:00,4.5,1279,325,14.5,1131,180,775,124,1758,1243,16.5,18.8
21:00:00,3.3,1132,143,8.4,916,128,920,113,1561,1083,16.9,24.1
22:00:00,2,1006,89,4.3,729,65,1142,80,1370,795,16.1,28.7
23:00:00,1.1,982,73,3.8,700,53,1204,72,1359,735,16.1,31.2
0:00:00,0.9,969,48,2.7,636,47,1271,64,1309,684,16.2,35.1
1:00:00,0.8,941,47,2.5,621,51,1298,70,1330,714,16.5,39.4
2:00:00,0.7,892,36,1.2,522,-200,1522,-200,1285,456,19.6,40.9
3:00:00,0.5,855,25,0.8,478,20,1701,31,1261,401,20.7,44.4
4:00:00,-200,834,19,0.6,459,13,1908,22,1212,361,20.8,53.9
5:00:00,0.3,909,26,1.8,567,33,1542,47,1287,418,21.7,59.8
6:00:00,0.5,1061,60,4.6,745,103,1178,88,1429,616,23.0,58.1
7:00:00,1.1,1441,248,14.2,1124,224,851,130,1829,1089,24.2,58.4
8:00:00,3,1498,535,21.0,1325,244,684,132,2095,1329,24.7,58.9
9:00:00,3.8,1343,340,16.2,1185,237,760,132,1857,1311,23.0,54.5
10:00:00,3.4,1308,325,15.5,1166,220,792,131,1794,1236,21.4,57.4
11:00:00,3,1209,267,13.4,1097,207,837,129,1746,1147,20.3,56.9
12:00:00,2.7,1310,325,16.9,1207,208,770,132,1847,1301,20.0,52.4
13:00:00,3.5,1171,268,12.4,1064,160,881,110,1639,1097,19.1,46.5
14:00:00,2.8,1112,136,10.1,980,131,924,99,1589,900,18.1,38.8
15:00:00,1.9,1132,118,8.7,927,128,944,100,1570,781,17.8,34.4
16:00:00,2,1225,276,13.8,1111,176,818,122,1719,1013,17.6,30.9
17:00:00,3,1065,151,9.3,953,107,962,97,1514,790,16.1,25.8
18:00:00,1.9,1236,236,13.0,1084,131,854,112,1688,1059,15.5,25.7
19:00:00,2.7,1309,220,14.3,1126,166,812,128,1722,1205,15.4,24.4
20:00:00,3.3,1089,87,7.6,884,89,1006,101,1487,975,15.6,26.0
21:00:00,1.7,1000,81,5.3,776,81,1141,96,1375,896,17.0,23.7
22:00:00,1.3,1041,74,5.4,782,78,1105,86,1425,911,14.9,25.4
23:00:00,1.3,1045,55,4.9,756,70,1137,85,1411,902,14.0,31.7
0:00:00,1.2,997,74,4.6,744,76,1151,79,1405,832,14.6,35.0
1:00:00,1.1,948,35,2.7,634,43,1320,61,1326,715,15.9,40.0
2:00:00,0.9,878,29,1.6,551,-200,1493,-200,1272,683,18.4,43.4
3:00:00,0.6,908,29,1.7,559,44,1477,66,1287,721,20.0,45.3
4:00:00,-200,892,20,1.2,522,34,1572,54,1255,648,20.4,47.8
5:00:00,0.6,954,32,1.7,561,43,1496,57,1255,612,20.7,51.0
6:00:00,0.8,1045,84,4.8,751,79,1186,75,1403,800,21.7,51.7
7:00:00,1.2,1383,245,13.8,1109,174,832,97,1706,1173,22.0,57.1
8:00:00,3.1,1597,553,23.7,1395,235,652,110,2080,1519,21.4,58.6
9:00:00,4.4,1318,450,14.2,1124,218,762,113,1770,1287,20.8,53.8
10:00:00,3.4,1138,118,8.0,898,136,950,88,1505,966,20.1,60.8
11:00:00,1.7,1098,118,6.7,842,117,1012,85,1440,828,20.0,54.5
12:00:00,1.5,1118,144,8.7,927,119,959,96,1477,825,19.5,49.9
13:00:00,1.7,1170,159,10.8,1009,126,879,106,1566,872,19.5,43.0
